Agency,Year,Region,Current Year Jurisdiction total operating budget,Population,Total number of parks,Total number of non-park sites,Total number of FTEs
Hoffman Estates Park District,2015,IL,20224306.0,51895.0,71,7,185
Hoffman Estates Park District,2017,IL,21593904.0,51895.0,76,3,189
Hoffman Estates Park District,2016,IL,23242276.0,51895.0,79,54,189
Hoffman Estates Park District,2019,IL,,51197.0,76,5,
Hoffman Estates Park District,2014,IL,23340049.0,51895.0,71,7,185
Hoffman Estates Park District,2009,IL,23000000.0,53000.0,69,0,
Hoffman Estates Park District,2010,IL,13369416.0,52000.0,69,0,171
Hoffman Estates Park District,2022,IL,16611139.0,52530.0,80,6,144
Hoffman Estates Park District,2021,IL,12481011.0,52530.0,80,6,144
Hoffman Estates Park District,2020,IL,23343665.0,51197.0,76,5,
Colton Community Services,2015,CA,29755904.0,56505.0,12,0,30
Colton Community Services,2014,CA,29755904.0,56505.0,12,0,30
Colton Community Services,2011,CA,31526457.0,53834.0,12,0,26
Redmond Area Park and Recreation District,2021,OR,1606541.0,51000.0,3,,21
Wylie,2021,TX,46513417.0,57195.0,38,53,71
Wylie,2020,TX,46513417.0,53067.0,37,53,71
Mansfield Parks and Recreation Department,2016,TX,4775144.0,67628.0,17,5,50
Mansfield Parks and Recreation Department,2015,TX,,57627.0,15,0,
Mansfield Parks and Recreation Department,2011,TX,,56368.0,12,6,24
Mansfield Parks and Recreation Department,2010,TX,,56368.0,12,0,24
Mansfield Parks and Recreation Department,2012,TX,,57627.0,12,6,24
Mansfield Parks and Recreation Department,2013,TX,,57627.0,,,
Mansfield Parks and Recreation Department,2014,TX,,57627.0,15,0,
Mansfield Parks and Recreation Department,2020,TX,77000000.0,75597.0,17,5,50
Mansfield Parks and Recreation Department,2022,TX,108880500.0,76000.0,21,5,61
New Bedford Parks Recreation and Beaches,2016,MA,460026.0,95000.0,,,
New Bedford Parks Recreation and Beaches,2017,MA,303974000.0,95000.0,,,
New Bedford Parks Recreation and Beaches,2015,MA,405280.0,94845.0,30,3,5
New Bedford Parks Recreation and Beaches,2013,MA,8500000.0,95500.0,,,4
New Bedford Parks Recreation and Beaches,2014,MA,286757519.0,95078.0,,,5
New Bedford Parks Recreation and Beaches,2020,MA,23946578.0,95000.0,,,5
Edina Park and Recreation Dept,2020,MN,94000000.0,53000.0,,,
Crystal Lake Park District,2011,IL,14516460.0,58000.0,42,0,127
Crystal Lake Park District,2014,IL,14825670.0,58000.0,42,0,127
Crystal Lake Park District,2019,IL,15000000.0,55000.0,42,,56
Crystal Lake Park District,2016,IL,15216000.0,58000.0,40,2,90
Crystal Lake Park District,2021,IL,13431865.0,55000.0,36,,56
Crystal Lake Park District,2022,IL,14739197.0,50000.0,36,4,0
Cupertino (City of) Recreation and Community Services,2018,CA,113850859.0,58302.0,,,
Cupertino (City of) Recreation and Community Services,2013,CA,92541217.0,60009.0,19,8,
Cupertino (City of) Recreation and Community Services,2011,CA,,55162.0,19,8,
Cupertino (City of) Recreation and Community Services,2010,CA,,55840.0,19,8,0
Cupertino (City of) Recreation and Community Services,2009,CA,,55162.0,19,8,0
Cupertino (City of) Recreation and Community Services,2012,CA,107805000.0,60009.0,19,8,
Gaithersburg,2015,MD,49600000.0,65690.0,25,0,101
Gaithersburg,2017,MD,2018509.0,69000.0,25,0,120
Gaithersburg,2018,MD,8928137.0,69000.0,28,0,125
Gaithersburg,2013,MD,46637273.0,64239.0,25,0,118
Gaithersburg,2014,MD,48800000.0,64000.0,26,0,122
Gaithersburg,2011,MD,40692188.0,60785.0,25,0,110
Gaithersburg,2009,MD,42070488.0,58774.0,25,0,126
Gaithersburg,2012,MD,41632325.0,64239.0,25,0,116
Gaithersburg,2022,MD,61477033.0,70000.0,,,
Arapahoe Park and Recreation District,2012,CO,,52000.0,,,14
Arapahoe Park and Recreation District,2015,CO,7471290.0,52000.0,25,5,69
Blue Springs Parks and Recreation,2012,MO,35496451.0,52575.0,21,13,39
Blue Springs Parks and Recreation,2022,MO,7020000.0,59430.0,21,2,56
Rapid City,2011,SD,5200000.0,67000.0,48,0,88
Rapid City,2018,,165000000.0,70000.0,,,51
Rapid City,2015,SD,7800000.0,70000.0,28,4,59
Rapid City,2020,SD,165000000.0,70000.0,,,51
Rapid City,2022,SD,165000000.0,77000.0,,,51
Worcester County Department of Recreation and Parks,2018,MD,535000.0,53000.0,12,,9
Jackson Recreation and Parks Dep,2012,TN,,68000.0,,,
"Peabody Recreation, Parks and Forestry",2022,MA,83823975.0,54119.0,40,10,35
"Peabody Recreation, Parks and Forestry",2023,MA,83823975.0,54119.0,40,10,35
Foss Park District,2017,IL,4700000.0,50000.0,,,
Burlington Recreation and Parks,2022,NC,62479369.0,61000.0,26,1,88
Burlington Recreation and Parks,2014,NC,6315152.0,51510.0,,,
Richmond,2011,CA,6300000.0,99000.0,,,
Rowlett,2012,TX,3135171.0,57703.0,17,7,27
Rowlett,2013,TX,3135171.0,57703.0,17,7,27
Rowlett,2014,TX,3135171.0,57703.0,17,7,27
Rowlett,2017,TX,3135171.0,58043.0,16,7,44
Rowlett,2015,TX,3135171.0,57703.0,17,7,30
Rowlett,2016,TX,3135171.0,58043.0,16,7,44
Rowlett,2018,TX,3135171.0,65000.0,16,7,44
Rowlett,2022,TX,4583422.0,73270.0,16,7,48
Rowlett,2021,TX,4215630.0,73270.0,16,7,45
Rowlett,2020,TX,3135171.0,65000.0,16,7,44
Tamarac Parks and Recreation,2011,FL,,60427.0,10,0,23
Tamarac Parks and Recreation,2010,FL,95000000.0,59000.0,,,
Tamarac Parks and Recreation,2014,FL,47255087.0,61000.0,12,0,86
Tamarac Parks and Recreation,2018,FL,62905031.0,65000.0,12,0,86
Tamarac Parks and Recreation,2019,FL,62905031.0,65000.0,12,0,69
Tamarac Parks and Recreation,2020,FL,77048006.0,65000.0,12,0,69
Tamarac Parks and Recreation,2021,FL,71279982.0,65000.0,12,0,57
Tamarac Parks and Recreation,2022,FL,71388801.0,66721.0,12,0,57
Carteret County Parks and Recreation,2014,NC,92347265.0,68811.0,8,6,14
Carteret County Parks and Recreation,2013,NC,91105295.0,67632.0,8,6,14
Carteret County Parks and Recreation,2012,NC,89261665.0,67373.0,9,5,13
Carteret County Parks and Recreation,2019,NC,880130.0,70216.0,14,,13
Carteret County Parks and Recreation,2020,NC,896765.0,70216.0,14,,13
Milford Recreation Department,2012,CT,,56000.0,,,5
Milford Recreation Department,2013,CT,,52759.0,31,346,5
Southaven (City of) Parks and Recreation,2013,MS,,51000.0,28,4,84
Great Falls,2015,MT,6067836.0,59000.0,57,9,
Murray City Parks and Recreation,2018,UT,6384489.0,50000.0,,,
Bismarck Parks and Recreation District,2019,ND,16734175.0,72865.0,63,1,257
Bismarck Parks and Recreation District,2018,ND,16040825.0,72865.0,62,1,193
Bismarck Parks and Recreation District,2015,ND,14486980.0,64751.0,50,4,201
Bismarck Parks and Recreation District,2017,ND,15588026.0,72417.0,62,1,194
Bismarck Parks and Recreation District,2016,ND,15304544.0,71137.0,62,1,201
Bismarck Parks and Recreation District,2013,ND,12050225.0,64751.0,43,7,178
Bismarck Parks and Recreation District,2014,ND,12923500.0,64751.0,44,12,198
Bismarck Parks and Recreation District,2010,ND,11050375.0,61272.0,56,0,185
Bismarck Parks and Recreation District,2009,ND,10159450.0,61272.0,56,0,171
Bismarck Parks and Recreation District,2011,ND,11050375.0,61272.0,56,0,185
Bismarck Parks and Recreation District,2012,ND,,71167.0,62,1,173
Bismarck Parks and Recreation District,2020,ND,17453650.0,73529.0,64,,186
Bismarck Parks and Recreation District,2021,ND,17754700.0,73529.0,64,,185
Bismarck Parks and Recreation District,2022,ND,17754700.0,73529.0,64,,185
Charleston,2015,WV,88390467.0,50404.0,24,0,33
Casper Recreation Division,2010,WY,39221357.0,54874.0,,,
"Rio Rancho (City of) Parks, Recreation and Community Services",2013,NM,,89500.0,37,12,100
"Rio Rancho (City of) Parks, Recreation and Community Services",2015,NM,,93820.0,,,
Fort Smith Parks and Recreation ,2011,AR,2296960.0,84000.0,,,
Fort Smith Parks and Recreation ,2014,AR,110085999.0,87000.0,25,160,44
West Hartford Human and Leisure Services,2011,CT,215000000.0,63589.0,55,0,82
West Hartford Human and Leisure Services,2010,CT,216865150.0,61045.0,55,0,
Pico Rivera Department of Parks and Recreation ,2012,CA,32051500.0,63400.0,,,
Pico Rivera Department of Parks and Recreation ,2010,CA,128000000.0,65000.0,,,
S Charles Parks and Recreation Department,2013,MO,6375000.0,66463.0,23,0,
Pocatello Parks and Recreation,2012,ID,,54810.0,,,
Waukegan Park District,2020,IL,15834533.0,88159.0,39,11,"4,460"
Waukegan Park District,2021,IL,15345441.0,86075.0,"5,300",0,94
Waukegan Park District,2022,IL,16934082.0,89321.0,"5,300",0,101
Waukegan Park District,2023,IL,16934082.0,89321.0,"5,300",0,101
Waukegan Park District,2016,IL,10189277.0,88475.0,40,9,96
Waukegan Park District,2017,IL,10189277.0,88475.0,40,9,96
Waukegan Park District,2019,IL,15834533.0,88159.0,39,11,"4,460"
Waukegan Park District,2018,IL,10565330.0,89078.0,40,9,99
Waukegan Park District,2013,IL,9297690.0,88892.0,40,7,114
Waukegan Park District,2014,IL,9231095.0,88892.0,40,8,114
Waukegan Park District,2015,IL,9629505.0,89892.0,40,8,97
Waukegan Park District,2010,IL,,89078.0,47,0,115
Waukegan Park District,2009,IL,,87901.0,47,0,115
Waukegan Park District,2011,IL,,89078.0,47,0,115
Waukegan Park District,2012,IL,10635575.0,89078.0,40,7,118
Pelican Park - Recreation District #1,2012,LA,,60000.0,1,0,36
Pelican Park - Recreation District #1,2017,LA,4006895.0,65000.0,2,1,46
Highlands Ranch Metro District,2012,CO,66685165.0,96713.0,25,11,74
Matanuska Susitna Borough Parks,2011,AK,,88379.0,23,9,
Branson Parks and Recreation,2019,MO,29160391.0,87054.0,16,,38
Albany (City of) Recreation and Parks,2013,GA,,77683.0,,,
Coconut Creek (City of) Parks and Recreation,2013,FL,58440410.0,53915.0,20,0,52
Coconut Creek (City of) Parks and Recreation,2014,FL,58440410.0,53915.0,20,0,52
Coconut Creek (City of) Parks and Recreation,2011,FL,58440410.0,53915.0,20,0,52
Sugar Land Parks and Recreation Department,2017,TX,94600000.0,85824.0,23,7,30
Sugar Land Parks and Recreation Department,2016,TX,3226910.0,87376.0,28,3,43
Sugar Land Parks and Recreation Department,2013,TX,94600000.0,85824.0,23,7,30
Sugar Land Parks and Recreation Department,2011,TX,94600000.0,85824.0,26,0,30
Sugar Land Parks and Recreation Department,2012,TX,94600000.0,85824.0,26,0,30
Tigard Parks,2015,OR,56345476.0,50787.0,30,32,14
Tigard Parks,2016,OR,59550000.0,50100.0,24,0,17
Tigard Parks,2017,OR,61000380.0,51253.0,27,4,16
Grand Forks Park District,2012,ND,,98056.0,37,0,53
"Greeley Parks / Culture, Parks, and Recreation",2020,CO,24092294.0,98500.0,42,93,179
"Greeley Parks / Culture, Parks, and Recreation",2018,CO,21294723.0,98500.0,41,8,231
"Greeley Parks / Culture, Parks, and Recreation",2013,CO,252375467.0,92889.0,41,0,171
"Greeley Parks / Culture, Parks, and Recreation",2014,CO,19264821.0,98500.0,41,8,215
"Greeley Parks / Culture, Parks, and Recreation",2011,CO,252375467.0,92889.0,41,0,171
Noblesville Parks and Recereation Department,2021,IN,,69604.0,7,0,28
Noblesville Parks and Recereation Department,2011,IN,69000000.0,51969.0,4,5,13
Plymouth Parks and Recreation,2017,MN,86396474.0,77216.0,69,10,72
Plymouth Parks and Recreation,2016,MN,81956318.0,75057.0,65,9,73
Plymouth Parks and Recreation,2018,MN,89153099.0,78395.0,69,12,73
Plymouth Parks and Recreation,2019,MN,88873893.0,79475.0,72,16,70
Plymouth Parks and Recreation,2012,MN,,71000.0,51,15,75
Plymouth Parks and Recreation,2013,MN,65554542.0,74023.0,63,9,74
Plymouth Parks and Recreation,2014,MN,67971759.0,74023.0,65,9,73
Plymouth Parks and Recreation,2015,MN,77929754.0,75057.0,65,9,73
Plymouth Parks and Recreation,2020,MN,99090160.0,79650.0,70,15,66
Plymouth Parks and Recreation,2021,MN,101079836.0,79828.0,67,15,73
Lethbridge (City of) Parks,2012,AB,299436566.0,87882.0,119,"1,020",85
Abington Township Parks and Recreation,2010,PA,32341194.0,56000.0,25,0,23
West Sacramento Parks and Recreation,2018,CA,25000000.0,52000.0,38,15,52
West Sacramento Parks and Recreation,2020,CA,25000000.0,52000.0,38,15,52
West Sacramento Parks and Recreation,2022,CA,25000000.0,52000.0,38,15,52
West Sacramento Parks and Recreation,2021,CA,164300000.0,53000.0,38,15,52
West Sacramento Parks and Recreation,2023,CA,164300000.0,53637.0,39,15,136
Vacaville (City of),2017,CA,,88730.0,34,26,
Vacaville (City of),2019,CA,,92000.0,36,,
Shawnee (City of) Parks and Recreation,2011,KS,38103000.0,63000.0,30,0,19
Shawnee (City of) Parks and Recreation,2014,KS,64012730.0,64170.0,35,9,44
Shawnee (City of) Parks and Recreation,2019,KS,56837930.0,67197.0,32,36,53
Shawnee (City of) Parks and Recreation,2017,KS,64012730.0,64170.0,35,9,44
Shawnee (City of) Parks and Recreation,2021,KS,86582727.0,68292.0,28,35,27
Shawnee (City of) Parks and Recreation,2020,KS,48311121.0,67197.0,32,35,27
Shawnee (City of) Parks and Recreation,2022,KS,60227527.0,68958.0,32,35,46
Lauderhill Parks and Leisure Services,2010,FL,117674337.0,64577.0,20,0,64
Cedar Park (City of) PARD,2012,TX,104000000.0,54000.0,46,35,46
Cedar Park (City of) PARD,2011,TX,94000000.0,55095.0,46,0,
Surry County Parks and Recreation,2010,NC,509564.0,73673.0,1,0,5
Surry County Parks and Recreation,2013,NC,505000.0,73714.0,6,0,2
Surry County Parks and Recreation,2014,NC,73969812.0,72968.0,2,3,10
Surry County Parks and Recreation,2015,NC,73969812.0,72968.0,2,3,10
Surry County Parks and Recreation,2016,NC,73969812.0,72968.0,2,3,10
Surry County Parks and Recreation,2021,NC,,71359.0,,,
Brookline Recreation Dept,2015,MA,5000000.0,59000.0,,,
Clarkstown Parks Board and Recreation Commission,2012,NY,,85000.0,10,2,49
"Bend Park and Recreation District, PandD",2012,OR,,78109.0,86,4,170
"Bend Park and Recreation District, PandD",2013,OR,,78485.0,86,4,170
"Bend Park and Recreation District, PandD",2014,OR,21081346.0,79109.0,86,4,169
"Bend Park and Recreation District, PandD",2019,OR,27045975.0,93066.0,90,5,243
"Bend Park and Recreation District, PandD",2020,OR,27045975.0,94633.0,90,3,233
"Bend Park and Recreation District, PandD",2021,OR,27045975.0,93066.0,90,5,243
Dundee Township Park District,2011,IL,15500000.0,60000.0,45,0,65
Dundee Township Park District,2015,IL,19000000.0,60000.0,41,0,60
Dundee Township Park District,2016,IL,23046815.0,60000.0,43,0,60
Dundee Township Park District,2019,IL,23046815.0,64000.0,43,0,58
Dundee Township Park District,2021,IL,18500000.0,64000.0,42,10,62
Dundee Township Park District,2022,IL,21450000.0,64000.0,42,12,57
DeSoto (City of) Parks and Recreation,2019,TX,97137685.0,52988.0,10,8,42
DeSoto (City of) Parks and Recreation,2020,TX,111526297.0,52988.0,10,8,42
DeSoto (City of) Parks and Recreation,2021,TX,190755522.0,56145.0,10,8,36
South Jordan Community Services,2012,UT,,56132.0,,,
"Roanoke County Parks, Recreation and Tourism",2012,VA,192720943.0,92376.0,65,12,180
Chapel Hill Parks and Recreation Department,2012,NC,,58000.0,15,20,63
Sylvania Recreation Corporation,2018,OH,3795250.0,50000.0,16,,43
Sylvania Recreation Corporation,2012,OH,,63000.0,12,0,38
Sylvania Recreation Corporation,2014,OH,3320300.0,51000.0,,,33
Sylvania Recreation Corporation,2015,OH,3320300.0,51000.0,,,33
Gary Parks and Recreation,2009,IN,47000000.0,80000.0,,,
Daybreak Community Association,2013,UT,2500000.0,55934.0,,,3
Coral Gables (City of),2016,FL,145654631.0,50000.0,10,6,105
Coral Gables (City of),2017,FL,190962426.0,50815.0,10,6,105
Coral Gables (City of),2018,FL,190962426.0,50815.0,10,6,105
Coral Gables (City of),2020,FL,183136033.0,50999.0,64,7,67
Coral Gables (City of),2023,FL,191847802.0,52500.0,58,6,128
CSA Palm Harbor,2018,FL,1749000.0,62000.0,,,
CSA Palm Harbor,2015,FL,1300000.0,60000.0,4,2,18
Lawrence Parks and Recreation,2011,KS,76086772.0,87643.0,,,0
Lawrence Parks and Recreation,2009,KS,66927602.0,88587.0,,,
Lawrence Parks and Recreation,2010,KS,76086772.0,87643.0,,,
Lawrence Parks and Recreation,2012,KS,76086772.0,87643.0,,,141
Lawrence Parks and Recreation,2013,KS,76086772.0,87643.0,,,141
Lawrence Parks and Recreation,2014,KS,76086772.0,87643.0,,,79
Lawrence Parks and Recreation,2015,KS,76086772.0,87643.0,,,0
Lawrence Parks and Recreation,2020,KS,76086772.0,87643.0,,,0
Lawrence Parks and Recreation,2022,KS,418309000.0,97000.0,54,,431
Canton Leisure Services,2011,MI,10232544.0,91859.0,9,0,44
Canton Leisure Services,2015,MI,17750160.0,90787.0,10,12,57
Canton Leisure Services,2014,MI,26693256.0,93186.0,,,
Canton Leisure Services,2013,MI,13722577.0,90173.0,11,3,
Canton Leisure Services,2016,MI,15776845.0,91515.0,10,12,57
Canton Leisure Services,2017,,14619904.0,95729.0,,,59
Canton Leisure Services,2018,MI,14619904.0,95729.0,10,0,194
Canton Leisure Services,2019,MI,,96500.0,10,0,90
Canton Leisure Services,2022,MI,173768149.0,98695.0,10,26,73
Canton Leisure Services,2020,MI,120193173.0,97404.0,10,0,90
Canton Leisure Services,2021,MI,120193173.0,97404.0,10,0,108
Brooklyn Park Recreation and Parks,2021,MN,91700709.0,86478.0,60,2,117
Brooklyn Park Recreation and Parks,2020,MN,89701797.0,80610.0,60,2,130
Brooklyn Park Recreation and Parks,2022,MN,104150908.0,86478.0,60,2,96
Brooklyn Park Recreation and Parks,2019,MN,89701797.0,80610.0,60,2,130
Brooklyn Park Recreation and Parks,2017,MN,48866744.0,80450.0,60,7,91
Brooklyn Park Recreation and Parks,2013,MN,40862859.0,78373.0,59,81,
Brooklyn Park Recreation and Parks,2012,MN,,75781.0,56,200,135
Sandy City Parks and Recreation,2012,UT,117000000.0,87461.0,39,0,101
Sandy City Parks and Recreation,2011,UT,117000000.0,87461.0,39,0,101
Lee County Parks and Recreation,2010,NC,59864318.0,60477.0,13,0,9
Lee County Parks and Recreation,2011,NC,59864318.0,60477.0,13,0,22
Lee County Parks and Recreation,2012,NC,62689722.0,58752.0,9,1,
Lee County Parks and Recreation,2015,NC,65120966.0,59662.0,12,2,25
Lee County Parks and Recreation,2016,NC,65120966.0,59662.0,12,2,25
"Genesee County Department of Parks, Recreation and Forestry",2011,NY,,60000.0,,,3
"Roswell Recreation, Parks, Historic and Cultural Affairs Dept",2016,GA,119153816.0,92364.0,22,5,114
"Roswell Recreation, Parks, Historic and Cultural Affairs Dept",2015,GA,15242276.0,91168.0,25,10,106
"Roswell Recreation, Parks, Historic and Cultural Affairs Dept",2014,GA,109323838.0,91168.0,25,10,7
"Roswell Recreation, Parks, Historic and Cultural Affairs Dept",2022,GA,142831364.0,92833.0,28,16,270
Bowling Green Parks and Recreation Department,2010,KY,9318691.0,58067.0,27,0,
Roswell Parks and Recreation,2012,NM,45000000.0,50000.0,41,0,62
Glenview Park District,2009,IL,18693110.0,57179.0,28,20,105
Glenview Park District,2018,IL,25979615.0,58183.0,26,13,364
Glenview Park District,2022,IL,27632395.0,63001.0,26,0,227
Glenview Park District,2021,IL,47051152.0,58183.0,41,8,215
Glenview Park District,2020,IL,25979615.0,58183.0,26,13,364
Hillsboro (City of) Parks and Recreation Department,2011,OR,10800000.0,91611.0,,,
Hillsboro (City of) Parks and Recreation Department,2015,OR,13528173.0,95000.0,40,20,234
Ogden City Recreation Department,2011,UT,130557775.0,83949.0,43,0,28
Ogden City Recreation Department,2012,UT,130557775.0,83949.0,43,0,28
Fountain Valley Recreation and Community Services,2016,CA,1000000000.0,55000.0,,,
San Angelo (City of) Parks and Recreation Department,2012,TX,90019763.0,93200.0,43,45,117
San Angelo (City of) Parks and Recreation Department,2013,TX,90019763.0,93200.0,43,45,117
San Marcos Parks and Recreation,2017,TX,193811647.0,60000.0,39,15,121
Isabella County Parks and Recreation ,2016,MI,902500.0,72000.0,8,0,18
West Palm Beach Dep of Parks and Recreation,2011,FL,,99700.0,50,0,
Georgetown Parks and Recreation ,2015,TX,282000000.0,59391.0,34,30,49
Georgetown Parks and Recreation ,2013,TX,189836625.0,52303.0,34,30,
Georgetown Parks and Recreation ,2014,TX,220688417.0,54898.0,34,30,49
Georgetown Parks and Recreation ,2017,TX,282000000.0,63716.0,34,30,54
Georgetown Parks and Recreation ,2016,TX,282000000.0,63716.0,34,30,52
Georgetown Parks and Recreation ,2018,TX,235592424.0,74180.0,72,30,83
Georgetown Parks and Recreation ,2019,TX,354249258.0,74180.0,72,30,83
Georgetown Parks and Recreation ,2021,TX,318592410.0,74198.0,80,3,76
Georgetown Parks and Recreation ,2020,TX,296789607.0,73425.0,79,22,74
Georgetown Parks and Recreation ,2022,TX,300469196.0,84282.0,78,3,83
White Plains Recreation and Parks Dep,2013,NY,3700000.0,56853.0,22,5,60
Champaign Park District,2012,IL,11368000.0,81055.0,66,0,176
Champaign Park District,2011,IL,11368000.0,81055.0,66,0,176
Champaign Park District,2010,IL,9765182.0,81070.0,66,0,176
Champaign Park District,2009,IL,11368000.0,81055.0,66,0,176
Champaign Park District,2015,IL,14821798.0,84513.0,,,80
Champaign Park District,2013,IL,9817821.0,83424.0,59,0,172
Champaign Park District,2014,IL,15274180.0,83424.0,59,0,70
Champaign Park District,2018,IL,15195081.0,86096.0,,,169
Champaign Park District,2016,IL,15038981.0,86096.0,,,158
Champaign Park District,2017,IL,13543380.0,86096.0,62,,166
Champaign Park District,2022,IL,15769282.0,88909.0,61,0,103
Champaign Park District,2020,IL,26811457.0,88909.0,,,106
Champaign Park District,2021,IL,14809202.0,88909.0,61,,91
Fayetteville Parks and Recreation ,2012,AR,118514200.0,73580.0,70,0,
Fayetteville Parks and Recreation ,2011,AR,118514200.0,73580.0,70,0,
Fayetteville Parks and Recreation ,2014,AR,118514200.0,73580.0,35,33,55
