NAME,Population,Median Age,Median Household Income,Unemployment Rate,Wage-based Gini,Manufacturing
"Sussex village, Wisconsin",10833,37.5,91387,192.0,0.3753,64043.0
"Springfield city, Missouri",167051,33.1,36856,4108.0,0.4736,36998.0
"Bemidji city, Minnesota",15132,27.9,32193,459.0,0.5067,38750.0
"Hoffman Estates village, Illinois",50841,38.6,91917,973.0,0.3852,63349.0
"Redmond city, Oregon",30167,37.0,65088,976.0,0.3706,40408.0
"Henderson city, Nevada",300116,42.2,74147,8759.0,0.4563,57881.0
"Rio Linda CDP, California",16359,37.2,70825,365.0,0.3811,38219.0
"Minneapolis city, Minnesota",420324,32.3,62583,13013.0,0.4986,50680.0
"Sarasota city, Florida",56919,49.2,53669,1074.0,0.5395,39144.0
"Mansfield city, Texas",69557,35.9,99510,1430.0,0.3751,79590.0
"Bloomingdale village, Illinois",22027,41.8,86350,548.0,0.4307,62819.0
"Crystal Lake city, Illinois",39974,39.6,87578,990.0,0.3912,62801.0
"Clarksville city, Tennessee",152934,29.6,53604,4608.0,0.4077,36197.0
"Northglenn city, Colorado",38973,32.5,66300,968.0,0.392,37306.0
"Tucson city, Arizona",541482,33.7,43425,20669.0,0.4578,42299.0
"Gaithersburg city, Maryland",67742,36.5,89763,2177.0,0.4441,74400.0
"Boulder city, Colorado",106392,28.6,69520,2893.0,0.5327,74740.0
"Fredericksburg city, Virginia",28622,30.4,65641,787.0,0.4579,41601.0
"Elmhurst city, Illinois",46463,39.9,118609,998.0,0.4639,85490.0
"Rapid City city, South Dakota",75258,38.0,52351,2148.0,0.4728,39533.0
"Germantown city, Tennessee",39193,44.8,118163,559.0,0.4536,93449.0
"Westminster city, Colorado",112962,36.6,76142,2604.0,0.4036,54798.0
"Arlington city, Texas",395477,33.3,60571,9671.0,0.4328,43718.0
"San Francisco city, California",874961,38.2,112449,23040.0,0.5099,87214.0
"Peabody city, Massachusetts",52906,45.8,73217,1139.0,0.444,61463.0
"Hayward city, California",159293,35.5,86744,3776.0,0.4043,49425.0
"Burlington city, North Carolina",53063,38.9,43225,1812.0,0.4829,29032.0
"Keene city, New Hampshire",22953,36.4,56971,517.0,0.4504,57193.0
"Durham city, North Carolina",269702,33.9,58905,6900.0,0.4641,52221.0
"Columbus city, Georgia",195739,34.0,46408,7827.0,0.498,31932.0
"Mount Airy city, North Carolina",10193,47.9,38515,257.0,0.5389,36987.0
"Rowlett city, Texas",63793,39.3,101085,1834.0,0.3556,62622.0
"Tamarac city, Florida",65874,47.1,48930,1667.0,0.4451,27114.0
"Tamarac city, Florida",65874,47.1,48930,1667.0,0.4451,27114.0
"Grafton city, North Dakota",4182,40.5,52760,85.0,0.4949,41106.0
"Garland city, Texas",238418,34.3,61211,6555.0,0.4095,37049.0
"Jefferson city, Wisconsin",7991,41.9,59407,220.0,0.3915,38300.0
"Shelbyville city, Kentucky",16009,36.6,61269,328.0,0.4572,43560.0
"Maple Bluff village, Wisconsin",1405,50.1,152750,10.0,0.5158,112750.0
"Bismarck city, North Dakota",72777,37.2,64444,927.0,0.4375,52525.0
"Waukegan city, Illinois",87297,32.3,49803,3472.0,0.4356,32084.0
"Roseville city, California",135637,39.0,89082,3090.0,0.4209,63131.0
"Sugar Land city, Texas",118709,42.2,121274,2889.0,0.4392,95280.0
"Salt Lake City city, Utah",197756,32.3,60676,4176.0,0.5007,38359.0
"Salt Lake City city, Utah",197756,32.3,60676,4176.0,0.5007,38359.0
"Washington city, District of Columbia",692683,34.0,86420,27967.0,0.5269,76120.0
"Santa Clara city, California",127721,33.9,126006,2688.0,0.4159,103951.0
"Herndon town, Virginia",24532,35.6,111371,606.0,0.3894,81786.0
"Brushy Creek CDP, Texas",18399,39.4,110179,398.0,0.3717,91836.0
"Ballwin city, Missouri",30252,42.1,98750,471.0,0.4238,94609.0
"Dallas city, Texas",1330612,32.7,52580,33252.0,0.5373,36181.0
"Pueblo city, Colorado",110841,37.7,40450,4128.0,0.4747,42387.0
"Norfolk city, Virginia",244601,30.7,51590,8681.0,0.491,43066.0
"West Sacramento city, California",53151,34.3,70699,1921.0,0.4577,49054.0
"Cape Coral city, Florida",183942,46.7,61599,5405.0,0.4177,40250.0
"Bakersfield city, California",377917,30.8,63139,14848.0,0.4536,40532.0
"Groton city, Connecticut",9030,35.7,52859,337.0,0.4383,58864.0
"Shawnee city, Kansas",65540,38.4,87120,1107.0,0.4323,59107.0
"Virginia Beach city, Virginia",450201,36.2,76610,10611.0,0.4171,52653.0
"Kaysville city, Utah",31494,30.4,99597,403.0,0.3603,64336.0
"Bend city, Oregon",93917,38.9,65662,2437.0,0.4563,41711.0
"Green city, Ohio",25760,41.9,75566,485.0,0.4349,60168.0
"Burlington city, Vermont",42545,26.8,51394,1073.0,0.4957,39497.0
"Eudora city, Kansas",6602,33.1,87692,133.0,0.3632,49050.0
"Dublin city, Ohio",46499,40.1,137867,627.0,0.4197,98295.0
"Spokane city, Washington",217353,36.2,50306,6391.0,0.4692,39906.0
"Lawrence city, Kansas",96369,28.2,53639,2493.0,0.4846,39907.0
"Brooklyn Park city, Minnesota",80068,35.0,73940,1629.0,0.4121,44262.0
"Elgin city, Illinois",112653,35.0,69041,3374.0,0.4221,38251.0
"Roswell city, Georgia",94498,38.6,99726,1868.0,0.4628,82166.0
"Downers Grove village, Illinois",49470,42.7,94893,1088.0,0.4581,73872.0
"Georgetown city, Texas",71004,46.3,73822,1791.0,0.4181,51222.0
"Champaign city, Illinois",87636,27.4,48415,2132.0,0.5466,40882.0
"Fort Lauderdale city, Florida",180124,42.1,59450,6941.0,0.5438,50417.0
"Anacortes city, Washington",16977,48.6,71844,289.0,0.4439,76458.0
"Fayetteville city, Arkansas",85166,27.3,43690,2225.0,0.5268,45319.0
"Milwaukee city, Wisconsin",594548,31.5,41838,19974.0,0.4741,36174.0
"Frederick city, Maryland",70887,35.9,76118,2046.0,0.3993,56836.0
"Golden city, Colorado",20693,33.5,72349,507.0,0.4798,50833.0
"Idaho Falls city, Idaho",61459,33.4,53148,1124.0,0.468,32279.0
"Greenville city, South Carolina",67737,34.3,56609,1654.0,0.5398,54367.0
"West Bend city, Wisconsin",31596,39.1,60910,420.0,0.3978,46284.0
"Westerville city, Ohio",39877,41.9,93717,649.0,0.3725,73278.0
"Atlanta city, Georgia",488800,33.3,59948,17049.0,0.5815,64667.0
"Roseville city, Minnesota",36026,40.9,71180,726.0,0.4202,63800.0
"Boca Raton city, Florida",97468,48.5,83114,2429.0,0.5476,86205.0
"Pearland city, Texas",122078,35.0,104504,2124.0,0.3713,87827.0
"Cottage Grove village, Wisconsin",7020,35.7,99322,150.0,0.3429,71288.0
"Post Falls city, Idaho",33225,33.9,54021,477.0,0.3813,34016.0
"Kettering city, Ohio",55390,39.3,58970,1210.0,0.4487,49507.0
"Miami Lakes town, Florida",30864,41.3,75762,475.0,0.46,37642.0
"Waukesha city, Wisconsin",72412,36.1,65260,1295.0,0.4196,52189.0
"Lee's Summit city, Missouri",97275,38.7,89969,1476.0,0.4112,65339.0
"O'Fallon city, Illinois",29333,36.7,90349,651.0,0.4039,64484.0
"Vandalia city, Ohio",15045,41.0,58277,229.0,0.4198,55179.0
"Gainesville city, Florida",132127,26.3,37264,3443.0,0.5273,36446.0
"Deer Park city, Texas",33855,35.5,80592,1373.0,0.3836,75865.0
"Alexandria city, Virginia",157613,36.8,100939,3045.0,0.4472,70395.0
"Fairfax city, Virginia",23531,38.2,116979,548.0,0.4053,71375.0
"Grand Prairie city, Texas",192565,33.4,67388,4703.0,0.3949,40549.0
"Coppell city, Texas",41645,40.5,122340,526.0,0.4184,98490.0
"Carmel city, Indiana",97464,39.4,112765,1345.0,0.4609,112454.0
"Farmington city, New Mexico",45258,33.8,54480,1325.0,0.4518,54821.0
"Oro Valley town, Arizona",44630,54.0,83341,1043.0,0.4325,105417.0
"Tallahassee city, Florida",191279,26.9,45734,8624.0,0.5042,39552.0
"Fort Wayne city, Indiana",265752,35.0,49411,7587.0,0.4436,40399.0
"Naperville city, Illinois",147501,39.1,125926,3188.0,0.4135,104895.0
"Seminole city, Florida",18657,55.9,53975,213.0,0.5265,81508.0
"Vancouver city, Washington",180556,36.9,61714,4666.0,0.4317,50525.0
"Buckeye city, Arizona",69744,34.3,71707,1625.0,0.3618,50050.0
"Spartanburg city, South Carolina",37424,34.6,40053,1300.0,0.5089,35758.0
"Tampa city, Florida",387916,35.7,53833,12885.0,0.5416,40759.0
"Margate city, Florida",58023,46.4,45594,1731.0,0.4601,30641.0
"Round Rock city, Texas",124434,34.3,82676,3732.0,0.3882,67075.0
"Colorado Springs city, Colorado",464871,34.7,64712,13689.0,0.4428,48012.0
"Colorado Springs city, Colorado",464871,34.7,64712,13689.0,0.4428,48012.0
"Largo city, Florida",84130,48.3,44323,2382.0,0.4502,35921.0
"Rockville city, Maryland",67542,38.7,106576,1686.0,0.4234,99545.0
"Toledo city, Ohio",276614,35.1,37752,12262.0,0.4645,41872.0
"Allen city, Texas",101699,37.9,105925,2537.0,0.4013,89037.0
"Austin city, Texas",950807,33.3,71576,21399.0,0.4841,68651.0
"Fort Collins city, Colorado",165609,29.3,65866,5188.0,0.4559,61650.0
"Glendale city, Arizona",247813,34.2,55020,7020.0,0.4528,42929.0
"Frankfort Square CDP, Illinois",8768,39.8,99951,283.0,0.2941,61515.0
"Sammamish city, Washington",64674,38.7,174003,909.0,0.3708,125909.0
"Mesa city, Arizona",499720,35.9,58181,12370.0,0.4469,47309.0
"Richmond city, Kentucky",35133,26.1,36302,1349.0,0.5042,50063.0
"Denver city, Colorado",705576,34.5,68592,15669.0,0.4909,50006.0
"Maricopa city, Arizona",48629,35.7,74515,915.0,0.3614,52951.0
"Columbus city, Ohio",878553,32.2,53745,27155.0,0.4431,42296.0
"Columbus city, Ohio",878553,32.2,53745,27155.0,0.4431,42296.0
"Bay City city, Texas",17694,34.0,50182,481.0,0.4617,49196.0
"Wichita city, Kansas",389877,35.0,52620,11278.0,0.465,51253.0
"Destin city, Florida",13702,42.3,79000,278.0,0.4527,29508.0
"Grapevine city, Texas",53317,38.2,91143,1254.0,0.4213,77400.0
"Lynnwood city, Washington",38143,40.2,63743,701.0,0.4276,54275.0
"Morrisville town, North Carolina",26280,33.8,101738,517.0,0.3881,95020.0
"Oak Brook village, Illinois",8075,56.1,141055,104.0,0.5351,68750.0
"Phoenix city, Arizona",1633017,33.8,57459,45563.0,0.4713,40957.0
"Renton city, Washington",101484,36.2,77739,2126.0,0.4202,70428.0
"Missoula city, Montana",73710,32.8,47426,2208.0,0.4866,36793.0
"Santa Rosa city, California",179701,38.8,75630,4565.0,0.4305,50578.0
"Owatonna city, Minnesota",25685,38.5,62642,521.0,0.4182,44830.0
"Eagan city, Minnesota",66379,38.2,90515,1670.0,0.4216,67331.0
"Port St. Lucie city, Florida",189396,42.5,60587,4251.0,0.4034,50847.0
"Gainesville city, Georgia",39991,31.5,51520,575.0,0.4826,27718.0
"Medford city, Oregon",81145,37.4,50116,2287.0,0.4479,38318.0
"Scottsdale city, Arizona",250602,47.7,88213,4408.0,0.5044,90090.0
"Newark city, Delaware",33448,24.8,58434,690.0,0.5059,64694.0
"Garner town, North Carolina",29462,37.6,65064,743.0,0.3931,69258.0
"Bloomington city, Indiana",84116,24.0,37077,2940.0,0.539,35750.0
"Elgin city, Texas",10064,33.5,58816,511.0,0.3724,43435.0
"Riverside city, California",326414,31.6,69045,10739.0,0.4263,36590.0
"Riverside city, California",326414,31.6,69045,10739.0,0.4263,36590.0
"Frisco city, Texas",177020,37.1,127055,3375.0,0.4113,109223.0
"Old Orchard Beach CDP, Maine",8862,53.4,58080,219.0,0.5127,46294.0
"Beavercreek city, Ohio",46942,42.1,91217,666.0,0.3917,70552.0
"Kansas City city, Missouri",486404,35.1,54194,12749.0,0.4734,44670.0
"Mountlake Terrace city, Washington",21210,37.3,72955,429.0,0.3828,69954.0
"Los Angeles city, California",3966936,35.6,62142,136312.0,0.5276,31623.0
"Charleston city, South Carolina",135257,34.8,68438,2621.0,0.5001,54022.0
"Fort Worth city, Texas",874401,32.6,62187,23967.0,0.4575,45735.0
"University CDP (Hillsborough County), Florida",48436,27.2,28495,2644.0,0.4844,37037.0
"Lakeway city, Texas",15138,48.4,132899,215.0,0.4318,133581.0
"Novi city, Michigan",60014,38.6,98020,903.0,0.4463,99912.0
"Forsyth city, Georgia",4077,39.9,32173,214.0,0.6127,34276.0
"Lynchburg city, Virginia",80569,28.3,46409,2256.0,0.4623,38917.0
"Englewood city, Colorado",34259,36.4,59774,1199.0,0.4459,42568.0
"The Woodlands CDP, Texas",113819,40.4,122634,1927.0,0.4905,122642.0
"El Paso city, Texas",679813,32.9,47568,19097.0,0.4643,34006.0
"Tinley Park village, Illinois",56505,40.1,78343,1667.0,0.3865,64441.0
"Elk River city, Minnesota",24522,36.3,89596,610.0,0.3486,61833.0
"New Brighton city, Minnesota",22556,37.5,74644,547.0,0.4247,55038.0
"Stillwater city, Oklahoma",49952,23.5,34309,1130.0,0.5605,38211.0
"Oklahoma City city, Oklahoma",643692,34.1,55557,13974.0,0.4734,39063.0
"Owensboro city, Kentucky",59536,38.0,43369,1491.0,0.4813,42219.0
"Columbus city, Indiana",48150,35.3,63405,1011.0,0.4437,66351.0
"High Point city, North Carolina",111714,36.2,47234,3814.0,0.4694,36017.0
"Kirkwood city, Missouri",27708,43.0,90730,338.0,0.4578,92652.0
"Wentzville city, Missouri",38841,33.1,90403,653.0,0.3511,70646.0
"Loveland city, Colorado",76972,39.9,68592,1767.0,0.4105,53734.0
"Doral city, Florida",59972,35.4,77493,1089.0,0.4227,53676.0
"Plano city, Texas",287064,38.7,95602,5941.0,0.4459,90041.0
"Tacoma city, Washington",212869,35.7,62358,5719.0,0.4444,49419.0
"Smithville city, Missouri",9884,35.4,82398,327.0,0.3563,78938.0
